Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
68,Pau Gasol,C,SAS,16000000,16000000,16000000,,,,,,,38700000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/996.png&w=350&h=254
69,Tobias Harris,SF,LAC,16000000,14800000,,,,,Bird Rights,,,30800000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6440.png&w=350&h=254
70,Dwyane Wade,SG,CHI,15550000,,,,,,,,,15550000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1987.png&w=350&h=254
71,Dennis Schroder,PG,ATL,15500000,15500000,15500000,15500000,,,1st Round Pick,,,62000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032979.png&w=350&h=254
72,Jonas Valanciunas,C,TOR,15460675,16539326,17617977,,,,1st Round Pick,Player,2019,32000001,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6477.png
73,Tony Parker,PG,SAS,15453126,,,,,,Bird Rights,,,15453126,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1015.png&w=350&h=254
74,Timofey Mozgov,C,BKN,15280000,16000000,16720000,,,,Cap Space,,,48000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4298.png&w=350&h=254
75,Andre Iguodala,SF,GSW,14814815,16000000,17185185,,,,Bird Rights,,,48000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2386.png&w=350&h=254
76,DeMarre Carroll,SF,BKN,14800000,15400000,,,,,Cap Space,,,30200000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3970.png&w=350&h=254
77,Thaddeus Young,SF,IND,14796348,13764045,,,,,Bird Rights,Player,2018,14796348,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3244.png&w=350&h=254
78,Eric Bledsoe,PG,MIL,14500000,15000000,,,,,Bird Rights,,,29500000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4238.png&w=350&h=254
79,Ricky Rubio,PG,UTA,14275000,14975000,,,,,1st Round Pick,,,29250000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4011.png&w=350&h=254
80,Joe Ingles,SF,UTA,14136364,13045455,11954546,10863637,,,Bird Rights,,,50000002,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2968436.png
81,Gorgui Dieng,PF,MIN,14112360,15170787,16229213,17287640,,,1st Round Pick,,,62800000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2534781.png&w=350&h=254
82,Khris Middleton,SF,MIL,14100000,13000000,13000000,,,,Bird Rights,Player,2019,27100000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6609.png
83,Mason Plumlee,C,DEN,14041096,12917808,14041096,,,,Cap space,,,41000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2488653.png&w=350&h=254
84,Taj Gibson,PF,MIN,14000000,14000000,,,,,Cap space,,,28000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3986.png&w=350&h=254
85,James Johnson,PF,MIA,13954000,14651700,15349400,,,,Cap space,Player,2020,43955100,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3999.png&w=350&h=254
86,Robin Lopez,C,CHI,13788500,14357750,,,,,Cap Space,,,28146250,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3447.png&w=350&h=254
