/* unused players in database */
Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
70,Dwyane Wade,SG,CHI,15550000,,,,,,,,,15550000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1987.png&w=350&h=254

15,Chris Bosh,PF,MIA,25289390,26837720,,,,,,,,52127110,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1977.png&w=350&h=254




401,Kyle Kuzma,PF,LAL,$1423560,$1689840,$1974600,$3562178,,,1st Round Pick,,,$3113400,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134907.png
486,Jordan Farmar\farmajo01,LAC,$510921,,,,,,,$510921
487,Leandro Barbosa\barbole01,PHX,$500000,,,,,,,$500000
488,Tibor Pleiss\pleisti01,PHI,$500000,,,,,,,$500000
489,Michael Gbinije\gbinimi01,DET,$500000,,,,,,,$500000
490,Aaron Gray\grayaa01,DET,$452059,,,,,,,$452059
491,Festus Ezeli\ezelife01,POR,$333334,$333333,$333333,,,,,$1000000
492,C.J. Watson\watsocj01,ORL,$333334,$333333,$333333,,,,,$1000000
493,Gal Mekel\mekelga01,DAL,$315760,,,,,,,$315760
494,Miroslav Raduljica\radulmi01,LAC,$300000,$300000,,,,,,$600000
495,Cameron Oliver\oliveca01,HOU,$300000,,,,,,,$300000
496,Ramon Sessions\sessira01,WAS,$263124,,,,,,,
497,Jordan Crawford\crawfjo02,NOP,$250000,,,,,,,$250000
498,Emeka Okafor\okafoem01,NOP,$239204,,,,,,10-Day Contract,$239204
499,Isaiah Canaan\canaais01,CHI,$200000,,,,,,,$200000
500,Rakeem Christmas\chrisra01,IND,$172552,,,,,,,$172552
501,DeAndre Liggins\liggide01,NOP,$172238,,,,,,,$172238,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6453.png&w=350&h=254
502,Rashad Vaughn\vaughra01,ORL,$166258,,,,,,,
503,Troy Williams\willitr02,NYK,$148318,,,,,,,
504,Carrick Felix\felixca01,WAS,$140902,,,,,,,$140902
505,Brandon Rush\rushbr01,POR,$119602,,,,,,,
506,K.J. McDaniels\mcdankj01,TOR,$100000,,,,,,,$100000
507,Marshall Plumlee\plumlma02,NYK,$100000,,,,,,,$100000
508,Georges Niang\niangge01,IND,$100000,,,,,,,$100000
509,Quinn Cook\cookqu01,ATL,$100000,,,,,,,$100000
510,Demetrius Jackson\jacksde01,BOS,$92858,$92857,$92857,$92857,$92857,,,$650000
511,Kyle Collinsworth\colliky01,DAL,$92160,,,,,,,$142160
512,Josh Gray\grayjo01,PHX,$92160,,,,,,,$92160
513,Naz Mitrou-Long\mitrona01,UTA,$92160,,,,,,,$50000
514,Shaquille Harrison\harrish01,PHX,$92160,,,,,,,
515,Walt Lemon Jr.\lemonwa01,NOP,$92160,,,,,,,
516,Antonius Cleveland\clevean01,ATL,$92160,,,,,,,
517,Mike James\jamesmi02,PHX,$87552,,,,,,,$87552
518,Sean Kilpatrick\kilpase01,LAC,$86119,,,,,,,
519,Jarell Eddie\eddieja01,BOS,$83129,,,,,,,$83129
520,Jarell Eddie\eddieja01,CHI,$83129,,,,,,10-Day Contract,$17224
521,Demetrius Jackson\jacksde01,HOU,$74159,,,,,,,$124159
522,Georgios Papagiannis\papagge01,POR,$74159,,,,,,,
523,Travis Wear\weartr01,LAL,$74159,,,,,,,
524,Scotty Hopson\hopsosc01,DAL,$74159,,,,,,,
525,Isaiah Canaan\canaais01,HOU,$53465,,,,,,,$53465
526,Tyler Cavanaugh\cavanty01,ATL,$50000,,,,,,,$729919
527,Kyle Collinsworth\colliky01,DAL,$50000,,,,,,,$142160
528,Demetrius Jackson\jacksde01,HOU,$50000,,,,,,,$124159
529,Michael Young\youngmi02,WAS,$50000,,,,,,,$50000
530,Daniel Ochefu\ochefda01,WAS,$50000,,,,,,,$50000
531,Nate Wolters\woltena01,UTA,$50000,,,,,,,$50000
532,Naz Mitrou-Long\mitrona01,UTA,$50000,,,,,,,$50000
533,Eric Griffin\griffer01,UTA,$50000,,,,,,,$50000
534,Jacob Pullen\pulleja01,PHI,$50000,,,,,,,$50000
535,James Michael McAdoo\mcadoja01,PHI,$50000,,,,,,,$50000
536,Nigel Hayes\hayesni01,NYK,$50000,,,,,,,$50000
537,Jalen Moore\mooreja02,MIL,$50000,,,,,,,$50000
538,Gary Payton\paytoga02,MIL,$50000,,,,,,,$50000
539,Matt Williams\willima05,MIA,$50000,,,,,,,$50000
540,Vince Hunter\huntevi01,MEM,$50000,,,,,,,$50000
541,Vander Blue\blueva01,LAL,$50000,,,,,,,$50000
542,V.J. Beachem\beachvj01,LAL,$50000,,,,,,,$50000
543,Briante Weber\weberbr01,LAL,$50000,,,,,,,$50000
544,Jamil Wilson\wilsoja02,LAC,$50000,,,,,,,$50000
545,Briante Weber\weberbr01,HOU,$50000,,,,,,,$50000
546,Luis Montero\montelu01,DET,$50000,,,,,,,$50000
547,Gian Clavell\clavegi01,DAL,$50000,,,,,,,$50000
548,Antonius Cleveland\clevean01,DAL,$50000,,,,,,,$50000
549,Diamond Stone\stonedi01,CHI,$50000,,,,,,,$50000
550,Yakuba Ouattara\ouattya01,BKN,$50000,,,,,,,$50000
551,Jeremy Evans\evansje01,ATL,$50000,,,,,,,$50000
552,Nigel Hayes\hayesni01,LAL,$46080,,,,,,,$46080
553,Nigel Hayes\hayesni01,TOR,$46080,,,,,,,
554,Rodney Purvis\purviro01,ORL,$46080,,,,,,,
555,Xavier Rathan-Mayes\rathaxa01,MEM,$46080,,,,,,,
556,Trey McKinney-Jones\mckintr01,IND,$46080,,,,,,,
557,Marcus Thornton\thornma02,CLE,$46080,,,,,,,
558,Jaylen Morris\morrija01,ATL,$46080,,,,,,,
559,DeAndre Liggins\liggide01,ATL,$26773,,,,,,,$26773
560,Quinn Cook\cookqu01,NOP,$25000,,,,,,,$25000
561,Axel Toupane\toupaax01,NOP,$25000,,,,,,,$25000
562,Chris Johnson\johnsch04,HOU,$25000,,,,,,,$25000
563,Beno Udrih\udrihbe01,DET,$25000,,,,,,,$25000
564,Joel Bolomboy\bolomjo01,MIL,$22248,,,,,,,$22248
565,Jarell Eddie\eddieja01,CHI,$17224,,,,,,,$17224
